# 我的清单 · 2026-09-09
# 总资产17.05万 / 本金20万 = -14.7% | 仓位91% | 现金1.54万
# ★本次修正：删佰维/仕佳/英维克(已卖)，加东方电气/紫金矿业/申菱环境
# ★ST海华代码002018系统查无此股，暂移出持仓改为备注，避免污染全表

# ────────── 账户 ──────────
账户 | 本金   | 20.00
账户 | 总资产 | 17.05
账户 | 现金   | 1.54

# ────────── 持仓 6 只 ──────────
持仓 | 300475 | 香农芯创 | 173.621 | 3.49 | 147.1 | 半导体 | 存储涨价链 | 2026-08-13 | B | 12周(存储涨价至2027) | ①SK海力士/长鑫扩产落空 ②DDR5价格转跌 ③半导体连3天资金流出
持仓 | 600875 | 东方电气 | 25.150 | 2.59 | 23.09 | 电网设备 | AI供电·燃气轮机链 | 2026-09-04 | B | 12-24周(全球燃机订单排至2030) | ①燃机订单取消 ②电网设备连3天资金流出 ③公司公告否认相关业务
持仓 | 002472 | 双环传动 | 35.391 | 2.58 | 32.80 | 汽车零部件 | 机器人执行器链 | 2026-09-01 | B | 12周(机器人量产) | ①人形机器人量产不及预期 ②减速器订单下滑 ③汽车零部件连3天资金流出
持仓 | 601899 | 紫金矿业 | 33.881 | 2.04 | 31.03 | 有色金属 | 铜金涨价链 | 2026-09-08 | B | 12-24周(伦铜创历史新高) | ①伦铜跌破14000美元 ②贵金属连3天资金流出 ③公司公告减产
持仓 | 601689 | 拓普集团 | 46.435 | 1.84 | 41.80 | 汽车零部件 | 机器人执行器链 | 2026-08-20 | B | 12周(机器人量产) | ①人形机器人量产不及预期 ②执行器订单下滑 ③汽车零部件连3天资金流出
持仓 | 301018 | 申菱环境 | 107.484 | 2.02 | 98.86 | 通用设备 | AI散热链 | 2026-09-07 | B | 12周(AI液冷渗透) | ①液冷订单取消 ②3日不创新高108.21 ③通用设备连2天流出且板块跌>1%

# ⚠️ ST海华：用户自定，AI不介入。代码002018系统查无此股，
#    为避免污染整张表的价格/技术指标，暂不写入持仓行。
#    2700股 @3.648，用户自行管理。

# ────────── 重点观察 ──────────
观察 | 300394 | 天孚通信 | 0 | 0 | 0 | 通信设备 | CPO光模块链
观察 | 603893 | 瑞芯微 | 0 | 0 | 0 | 半导体 | 存储涨价链
观察 | 002185 | 华天科技 | 0 | 0 | 0 | 半导体 | 存储器封装
观察 | 000938 | 紫光股份 | 0 | 0 | 0 | 计算机设备 | AI算力链
观察 | 002364 | 中恒电气 | 0 | 0 | 0 | 其他电源设备 | AI供电链
观察 | 688525 | 佰维存储 | 0 | 0 | 0 | 半导体 | 存储涨价链·已卖出跟踪
观察 | 688313 | 仕佳光子 | 0 | 0 | 0 | 通信设备 | CPO光芯片链·已卖出跟踪
观察 | 002837 | 英维克 | 0 | 0 | 0 | 专用设备 | AI散热链·已卖出跟踪

# ═══════ AI供电链（燃气轮机/高温合金）═══════
候选 | 603308 | 应流股份 | 0 | 0 | 0 | 通用设备 | AI供电·燃机叶片
候选 | 000697 | 炼石航空 | 0 | 0 | 0 | 航空装备 | AI供电·燃机叶片
候选 | 688333 | 铂力特 | 0 | 0 | 0 | 通用设备 | AI供电·叶片3D打印
候选 | 688231 | 隆达股份 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 300855 | 图南股份 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 600399 | 抚顺特钢 | 0 | 0 | 0 | 特钢 | AI供电·高温合金
候选 | 002297 | 博云新材 | 0 | 0 | 0 | 金属新材料 | 硬质合金·非高温合金
候选 | 688563 | 航材股份 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 688122 | 西部超导 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 300428 | 立中集团 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 301522 | 上大股份 | 0 | 0 | 0 | 金属新材料 | AI供电·高温合金
候选 | 002471 | 中超控股 | 0 | 0 | 0 | 电网设备 | 电缆
候选 | 600893 | 航发动力 | 0 | 0 | 0 | 航空装备 | AI供电·燃气轮机
候选 | 600391 | 航发科技 | 0 | 0 | 0 | 航空装备 | AI供电·燃气轮机
候选 | 600482 | 中国动力 | 0 | 0 | 0 | 船舶制造 | AI供电·燃气轮机
